,feature_id,latitude,longitude,easting,northing,utm_epsg,SoVI,pop_d_c
0,0,51.13788385,-114.0974867,703045.5341,5669164.438,32611,Moderate,Moderate
1,1,51.13975984,-114.0935339,703313.758,5669383.926,32611,Moderate,Moderate
2,2,51.13582621,-114.0952228,703212.9154,5668941.932,32611,Moderate,Moderate
3,3,51.13885419,-114.0904655,703532.3465,5669291.728,32611,Moderate,Moderate
4,4,51.13915202,-114.0880679,703698.7215,5669331.478,32611,Moderate,Low
5,5,51.13376695,-114.085682,703889.3272,5668739.401,32611,Moderate,Moderate
6,6,51.13060877,-114.0840096,704020.2318,5668392.926,32611,Moderate,Low
7,7,51.12810472,-114.0837997,704045.9547,5668115.118,32611,High,Moderate
8,8,51.12804692,-114.0783703,704426.0372,5668123.77,32611,Moderate,Moderate
9,9,51.12593837,-114.079586,704350.2972,5667885.973,32611,Moderate,Moderate
10,10,51.12395407,-114.0783752,704443.7729,5667668.732,32611,Moderate,Low
11,11,51.1207646,-114.0757606,704640.7984,5667321.413,32611,Moderate,Moderate
12,12,51.11988655,-114.0721349,704898.3706,5667233.89,32611,High,Moderate
13,13,51.12075762,-114.0688568,705123.8785,5667339.868,32611,Moderate,Moderate
14,14,51.1198382,-114.0655019,705362.6907,5667247.014,32611,Moderate,Moderate
15,15,51.12361817,-114.0658809,705319.4052,5667666.195,32611,Moderate,Moderate
16,16,51.12320337,-114.0624194,705563.4229,5667629.748,32611,Moderate,Moderate
17,17,51.1195041,-114.0592149,705804.0699,5667227.443,32611,Moderate,Moderate
18,18,51.12209839,-114.0571086,705939.908,5667521.759,32611,Moderate,Moderate
19,19,51.1240948,-114.0559395,706012.8179,5667746.984,32611,Moderate,Moderate
20,20,51.11953184,-114.0532094,706224.1473,5667247.348,32611,Moderate,Moderate
21,21,51.11654931,-114.0564435,706011.1326,5666906.703,32611,Moderate,Moderate
22,22,51.11341795,-114.0537652,706212.493,5666566.079,32611,Moderate,Moderate
23,23,51.11336543,-114.0523452,706312.097,5666564.222,32611,Moderate,High
24,24,51.10671899,-114.0658252,705398.2605,5665787.581,32611,High,Moderate
25,25,51.10369873,-114.0686614,705213.1353,5665443.888,32611,Moderate,Low
26,26,51.10185774,-114.0737069,704868.1289,5665225.154,32611,Moderate,Low
27,27,51.09869691,-114.0689056,705218.2045,5664887.129,32611,High,Low
28,28,51.09990892,-114.0642814,705536.5251,5665034.783,32611,High,Moderate
29,29,51.09292076,-114.068033,705304.8857,5664247.402,32611,High,Low
30,30,51.09092092,-114.0653398,705502.3057,5664032.588,32611,High,Moderate
31,31,51.0916129,-114.0585221,705976.5527,5664128.582,32611,High,Low
32,32,51.08711387,-114.063903,705619.789,5663613.353,32611,High,Moderate
33,33,51.08565193,-114.0565672,706139.9323,5663471.347,32611,High,Low
34,34,51.0821069,-114.0599372,705919.7117,5663067.795,32611,High,Moderate
35,35,51.08309702,-114.0641885,705617.6194,5663165.984,32611,High,Moderate
36,36,51.07890835,-114.0617608,705806.2114,5662707.097,32611,Moderate,Moderate
37,37,51.07868884,-114.067559,705401.1329,5662666.494,32611,Moderate,Moderate
38,38,51.08108531,-114.0693821,705262.8479,5662927.834,32611,Moderate,Moderate
39,39,51.07804195,-114.0742452,704935.7444,5662575.935,32611,Moderate,Moderate
40,40,51.07901243,-114.0816581,704412.3249,5662663.212,32611,Moderate,Low
41,41,51.0746946,-114.0806369,704502.8844,5662186.015,32611,Low,Moderate
42,42,51.07118013,-114.0809952,704493.2889,5661794.299,32611,Moderate,Moderate
43,43,51.0683117,-114.0807105,704525.8764,5661476.192,32611,Moderate,Moderate
44,44,51.0655675,-114.080135,704578.2989,5661172.706,32611,Moderate,Moderate
45,45,51.06833283,-114.0719551,705139.0777,5661502.907,32611,Moderate,Moderate
46,46,51.06556532,-114.0702385,705271.5692,5661200.016,32611,Moderate,Moderate
47,47,51.06376254,-114.0737717,705032.0368,5660989.746,32611,Moderate,Moderate
48,48,51.05993975,-114.080363,704587.147,5660546.409,32611,Moderate,Moderate
49,49,51.05762607,-114.0738132,705056.2485,5660307.41,32611,Moderate,Moderate
50,50,51.05684463,-114.0781817,704753.6264,5660208.375,32611,Moderate,Moderate
51,51,51.05747722,-114.0807492,704570.9454,5660271.565,32611,Moderate,Moderate
52,52,51.05570001,-114.0842264,704335.1503,5660064.327,32611,Moderate,Moderate
53,53,51.05394051,-114.0830328,704426.5294,5659872.029,32611,Moderate,Moderate
54,54,51.05394315,-114.0880852,704072.5049,5659858.305,32611,Moderate,Moderate
55,55,51.05460781,-114.0928112,703738.4366,5659919.109,32611,Moderate,Moderate
56,56,51.05096219,-114.0911271,703872.4573,5659518.469,32611,Moderate,Moderate
57,57,51.05146206,-114.1006923,703199.9951,5659547.599,32611,Low,Moderate
58,58,51.05350061,-114.098537,703342.0922,5659780.185,32611,Moderate,Moderate
59,59,51.05553082,-114.1021601,703079.3345,5659995.893,32611,Low,Moderate
60,60,51.05609718,-114.096254,703490.6748,5660075.167,32611,Moderate,Moderate
61,61,51.05851029,-114.0946352,703593.5046,5660347.92,32611,Moderate,Moderate
62,62,51.06116161,-114.0986581,703300.031,5660631.563,32611,Moderate,Moderate
63,63,51.06470363,-114.0998185,703203.2216,5661022.143,32611,Moderate,Low
64,64,51.06015611,-114.1028026,703014.0772,5660508.338,32611,Low,Low
65,65,51.06415441,-114.109044,702559.3414,5660935.656,32611,Moderate,Low
66,66,51.0611471,-114.1130503,702291.7985,5660590.3,32611,Low,Low
67,67,51.06531288,-114.1145722,702167.0169,5661049.251,32611,Moderate,Moderate
68,68,51.06364687,-114.1235373,701546.2274,5660839.447,32611,Low,Low
69,69,51.06625794,-114.1240227,701500.8831,5661128.405,32611,Moderate,Low
70,70,51.06338267,-114.1299772,701096.2261,5660792.462,32611,Low,Low
71,71,51.05814301,-114.1234638,701575.2976,5660227.754,32611,Low,Moderate
72,72,51.05612363,-114.1285214,701229.7008,5659989.412,32611,Low,Low
73,73,51.05880506,-114.1335496,700865.7806,5660273.789,32611,Low,Moderate
74,74,51.05940768,-114.1377009,700572.3262,5660329.467,32611,Low,Moderate
75,75,51.06284492,-114.1391849,700453.502,5660707.564,32611,Low,Moderate
76,76,51.06327972,-114.1447197,700063.8785,5660740.845,32611,Low,Moderate
77,77,51.05948733,-114.1456193,700017.2065,5660316.777,32611,Low,Low
78,78,51.0544727,-114.145235,700065.7528,5659760.315,32611,Moderate,Low
79,79,51.0501009,-114.1489669,699823.0888,5659264.142,32611,Moderate,Low
80,80,51.04871139,-114.1427887,700262.0289,5659126.448,32611,Moderate,Moderate
81,81,51.04665916,-114.1492754,699816.29,5658880.666,32611,High,Moderate
82,82,51.04377703,-114.1497824,699793.1621,5658558.867,32611,High,Moderate
83,83,51.04356409,-114.1436259,700225.5595,5658551.916,32611,High,Moderate
84,84,51.04054121,-114.1469369,700006.5305,5658206.847,32611,High,Moderate
85,85,51.03986341,-114.1436153,700242.2666,5658140.52,32611,High,Moderate
86,86,51.03668705,-114.1474614,699986.3687,5657776.934,32611,High,Moderate
87,87,51.03965534,-114.1505558,699756.6908,5658098.536,32611,Moderate,Moderate
88,88,51.04022884,-114.1541719,699500.77,5658152.492,32611,Moderate,Moderate
89,89,51.04001355,-114.1585425,699195.3534,5658116.725,32611,Moderate,Moderate
90,90,51.04314388,-114.15877,699165.9748,5658464.127,32611,Moderate,Low
91,91,51.04358154,-114.1601938,699064.3084,5658508.934,32611,Moderate,Low
92,92,51.04653415,-114.1583039,699184.0953,5658842.305,32611,Moderate,Moderate
93,93,51.04788164,-114.1617281,698938.344,5658982.856,32611,Moderate,Moderate
94,94,51.0490928,-114.1583473,699170.0773,5659126.649,32611,Moderate,Moderate
95,95,51.04682561,-114.1726272,698179.0556,5658836.059,32611,Low,Low
96,96,51.0463262,-114.1747437,698032.8589,5658774.841,32611,Low,Moderate
97,97,51.04490033,-114.1779111,697816.9607,5658607.804,32611,Low,Low
98,98,51.04965722,-114.1791004,697713.3392,5659133.464,32611,Low,Moderate
99,99,51.05406486,-114.1737297,698070.8878,5659637.926,32611,Moderate,Low
100,100,51.05220085,-114.1839072,697365.674,5659403.359,32611,Low,Low
101,101,51.05541359,-114.1856012,697233.3149,5659756.002,32611,Low,Moderate
102,102,51.05814906,-114.1820251,697472.2466,5660069.709,32611,Moderate,Moderate
103,103,51.06018076,-114.185982,697186.3755,5660284.979,32611,Low,Moderate
104,104,51.06365154,-114.1757721,697886.8848,5660698.247,32611,Moderate,Low
105,105,51.06512479,-114.1757065,697885.1897,5660862.215,32611,Low,Low
106,106,51.05917021,-114.1720086,698169.6812,5660210.152,32611,Moderate,Moderate
107,107,51.06327668,-114.1655416,698605.1892,5660684.123,32611,Moderate,Low
108,108,51.05507234,-114.1552222,699363.384,5659799.889,32611,Low,Moderate
109,109,51.07134496,-114.1585193,699062.5162,5661600.095,32611,Moderate,Moderate
110,110,51.07340528,-114.1567446,699177.9725,5661833.955,32611,Moderate,Moderate
111,111,51.07717356,-114.1600458,698930.5805,5662243.971,32611,Moderate,Moderate
112,112,51.07665935,-114.1646129,698612.9278,5662174.468,32611,Moderate,Moderate
113,113,51.08006116,-114.1577514,699078.8749,5662571.209,32611,Moderate,Low
114,114,51.06981712,-114.1618997,698832.2884,5661421.098,32611,Low,Moderate
115,115,51.07902144,-114.1831737,697302.9505,5662387.155,32611,Moderate,Low
116,116,51.08110821,-114.1792745,697567.1307,5662629.615,32611,Moderate,Low
117,117,51.08391394,-114.1806223,697460.7911,5662937.931,32611,High,Moderate
118,118,51.08302922,-114.175571,697818.2856,5662853.137,32611,Moderate,Moderate
119,119,51.08709618,-114.1818223,697363.2138,5663288.504,32611,Moderate,Moderate
120,120,51.08531522,-114.1857997,697092.2853,5663079.842,32611,High,Low
121,121,51.08516125,-114.1905548,696759.9708,5663050,32611,High,Moderate
122,122,51.0829881,-114.1944149,696498.8865,5662798.081,32611,High,Low
123,123,51.08571416,-114.196057,696372.3463,5663096.774,32611,High,Moderate
124,124,51.087687,-114.1939576,696510.9852,5663321.713,32611,High,Low
125,125,51.09029595,-114.1927162,696586.8434,5663615.085,32611,High,Moderate
126,126,51.09017529,-114.1988685,696156.5923,5663585.252,32611,High,Moderate
127,127,51.09261097,-114.2005839,696026.1846,5663851.474,32611,High,Moderate
128,128,51.09344344,-114.1959527,696346.9013,5663956.374,32611,Moderate,Moderate
